sample,percent,clade_contigs,direct_contigs,rank,taxid,taxon_name
Resolution,0.04,1,1,S,75692,Pseudomonas sp. 273
Resolution,0.04,1,1,S,2895495,Pseudomonas sp. B21-056
Resolution,0.04,1,1,S,2653853,Pseudomonas sp. SCB32
Resolution,0.04,1,1,S,2983246,Pseudomonas sp. SO81
Resolution,0.08,2,0,G1,136845,Pseudomonas putida group
Resolution,0.04,1,1,S,47885,Pseudomonas oryzihabitans
Resolution,0.04,1,1,S,2078786,Pseudomonas inefficax
Resolution,0.04,1,1,S,2448482,Pseudomonas leptonychotis
Resolution,0.04,1,0,G1,136849,Pseudomonas syringae group
Resolution,0.04,1,0,S,251699,Pseudomonas syringae group genomosp. 7
Resolution,0.04,1,1,S1,251654,Pseudomonas syringae pv. helianthi
Resolution,0.04,1,1,S,2762576,Pseudomonas baltica
Resolution,6.97,173,0,K,1783272,Bacillati
Resolution,6.97,173,0,P,1239,Bacillota
Resolution,6.93,172,0,C,91061,Bacilli
Resolution,6.93,172,0,O,186826,Lactobacillales
Resolution,6.93,172,0,F,1300,Streptococcaceae
Resolution,6.93,172,1,G,1301,Streptococcus
Resolution,6.49,161,0,G1,671232,Streptococcus anginosus group
Resolution,6.37,158,109,S,1338,Streptococcus intermedius
Resolution,1.21,30,30,S1,862967,Streptococcus intermedius B196
Resolution,0.77,19,19,S1,862966,Streptococcus intermedius C270
Resolution,0.08,2,2,S,76860,Streptococcus constellatus
Resolution,0.04,1,0,S,1328,Streptococcus anginosus
Resolution,0.04,1,1,S1,862970,Streptococcus anginosus C1051
Resolution,0.16,4,2,S,1318,Streptococcus parasanguinis
Resolution,0.04,1,1,S1,760570,Streptococcus parasanguinis ATCC 15912
Resolution,0.04,1,1,S1,1114965,Streptococcus parasanguinis FW213
Resolution,0.12,3,0,G1,2608887,unclassified Streptococcus
Resolution,0.08,2,2,S,2763068,Streptococcus sp. NSJ-72
Resolution,0.04,1,1,S,2598457,Streptococcus sp. KS 6
Resolution,0.04,1,1,S,1304,Streptococcus salivarius
Resolution,0.04,1,1,S,1309,Streptococcus mutans
Resolution,0.04,1,1,S,2781599,Streptococcus oriscaviae
Resolution,0.04,1,0,C,909932,Negativicutes
Resolution,0.04,1,0,O,1843489,Veillonellales
Resolution,0.04,1,0,F,31977,Veillonellaceae
Resolution,0.04,1,1,G,29465,Veillonella
Resolution,0.24,6,0,K,3384189,Fusobacteriati
Resolution,0.24,6,0,P,32066,Fusobacteriota
Resolution,0.24,6,0,C,203490,Fusobacteriia
Resolution,0.24,6,0,O,203491,Fusobacteriales
Resolution,0.24,6,0,F,203492,Fusobacteriaceae
Resolution,0.24,6,0,G,848,Fusobacterium
Resolution,0.2,5,5,S,76857,Fusobacterium polymorphum
Resolution,0.04,1,1,S,2663009,Fusobacterium pseudoperiodonticum
